,High_School_ID,High School
813,813,Maryvale Prep
814,814,Johns Burroughs
815,815,Saffron Walden County
816,816,Pymble Ladies' College
817,817,Half Hollows Hills West
818,818,Northwest
819,819,San Clemente
820,820,Bloomfield
821,821,Loyola High School
822,822,Seattle Prep
823,823,Birdville High School
824,824,Wayland Academy
825,825,Mid-Pacific
826,826,Boston College
827,827,Rumson-Fair Haven Regional High School
828,828,Glenbrook North
829,829,Tahoe-Truckee High School
830,830,James Madison
831,831,Bloomington North
832,832,Doherty
833,833,Junipero Serra High School
834,834,Sheldon School
835,835,Lowell
836,836,The Bishop's School
837,837,Dartmouth High School
838,838,Trinity School
839,839,Wilton High
840,840,Ward Melville
841,841,Loreto Normanhurst
842,842,Lake Forest Academy
843,843,Bow
844,844,Belen Jesuit Prep
845,845,The Koc School
846,846,Bronx School of Science
847,847,Littleton
848,848,William Penn Charter
849,849,St. Clement's
850,850,Collegiate Academy
851,851,Antilles School
852,852,W. Windsor Plainsboro South
853,853,San Joaquin Memorial
854,854,Apollo
855,855,Bishop Moore
856,856,C.E. Byrd H.S.
857,857,William R. Boone
858,858,Moorestown
859,859,Newton North
860,860,Greenhill School
861,861,Notre Dame-West Haven
862,862,Saint John's
863,863,Chaminade College Preparatory
864,864,Rice Memorial
865,865,John F. Kennedy Catholic
866,866,Chapin
867,867,King City Secondary School
868,868,Glenbrook North Senior
869,869,German School of Stockholm
870,870,Needham
871,871,Anacortes
872,872,Somerville House
873,873,Skaneateles
874,874,Harding Charter
875,875,The Fieldston School
876,876,Beal City
877,877,Bellevue High School
878,878,Becket Upper School
879,879,St. Margaret's
880,880,Anglican Church Grammar
881,881,Rotorua Boys' High School
882,882,Christ Church Episcopal
883,883,King's
884,884,Corona Del Mar High
885,885,Castilleja School
886,886,Cedar Park Christian - Bothell
887,887,Los Gatos
888,888,Sigrid Rudebecks
889,889,Munich International School
890,890,Miramonte
891,891,New Canaan
892,892,Lincoln
893,893,Dover – Sherborn High School
894,894,Lincoln-Sudbury Regional
895,895,Martin Luther King
896,896,Millfield School
897,897,Flatow-Oberschule
898,898,Montclair
899,899,Brynteg Comprehensive School
900,900,Yorktown
901,901,Hoover
902,902,Antilles
903,903,Millburn High School
904,904,St. Mary's Academy
905,905,Taft
906,906,Washington International School
907,907,Washington Lee
908,908,The Brearley School
909,909,St Paul’s Girls’ School
910,910,Cambridge Rindge and Latin
911,911,Ladies College
912,912,Collegiate School
913,913,Kingwood Park
914,914,Long Beach Poly High School
915,915,Brebeuf Jesuit
916,916,La Reina
917,917,New London
918,918,Sioux Falls (USHL)
919,919,San Marino
920,920,St. Ignatius College Prepatory
921,921,Staples
922,922,Fairfax
923,923,Eastport-South Manor
924,924,Saint Thomas Academy
925,925,Brentwood
926,926,Radnor High School
927,927,Germantown
928,928,The King's School
929,929,John Burroughs School
930,930,Cretin-Derham Hall
931,931,Taft School
932,932,New Canaan HS
933,933,Princess Anne
934,934,Thousand Oaks
935,935,Oakridge Secondary School
936,936,Park City
937,937,Ooltewah
938,938,Southmoore
939,939,Hanover
940,940,Manheim Township
941,941,Salpointe
942,942,Toms River High School South
943,943,Jefferson Senior
944,944,Richmond
945,945,Corona del Mar
946,946,Woodbridge
947,947,Coppell High School
948,948,Cherry Creek
949,949,Hun School of Princeton
950,950,Pomfret
951,951,Charles Allen High School
952,952,The Bolles School
953,953,The Blake High School
954,954,Crestwood
955,955,Dublin-Coffman
956,956,Vero Beach High School
957,957,Briarcrest Christian
958,958,Terra Linda
959,959,Sandpoint (ID)/Loomis Chaffee
960,960,University School
961,961,Redwood High School
962,962,Ridgefield High School
963,963,O'Dea
964,964,Latymer Upper
965,965,Decatur
966,966,Palmer Ridge
967,967,Lakeside
968,968,Staples High School
969,969,Grosse Pointe North
970,970,Middlesex School
971,971,Choate
972,972,Pope John Paul II
973,973,Marquette
974,974,Palatine
975,975,Melbourne High School
976,976,Edge School
977,977,Mount Carmel
978,978,Healdsburg
979,979,College Preparatory School
980,980,Sunny Hills
981,981,New Haven Academy
982,982,Xavier College Preparatory
983,983,Rivers
984,984,Shawnee Mission E.
985,985,Harvard Westlake School
986,986,Christian Brothers Academy
987,987,Lone Peak
988,988,Abingdon High School
989,989,Saint John Bosco
990,990,Corvallis
991,991,Thornridge (IL)
992,992,Atlantic College
993,993,Farmington
994,994,Suffern
995,995,Oakville
996,996,The Whitfield School
